n_total,n_diabetiques,Recall,FPR,CI_TPR,CI_FPR,TP,FN,FP,TN,pos_rate,pvalue_adj,Alerte_Recall,Sous-groupe,DI
12957,1496,0.7199,0.2137,0.0228,0.0075,1077,419,2449,9012,0.2721,0.0,True,"Femmes
+ (Niv.5-6)",0.5476
10310,1581,0.7432,0.2938,0.0215,0.0096,1175,406,2565,6164,0.3628,0.0036,True,"Hommes
+ (Niv.5-6)",0.7301
5037,977,0.827,0.4175,0.0237,0.0152,808,169,1695,2365,0.4969,0.0,False,"Hommes
+ (Niv.1-4)",1.0
6118,1211,0.8315,0.3884,0.0211,0.0136,1007,204,1906,3001,0.4761,0.0,False,"Femmes
+ (Niv.1-4)",0.9581
