n_total,n_diabetiques,Recall,FPR,CI_TPR,CI_FPR,TP,FN,FP,TN,pos_rate,pvalue_adj,Alerte_Recall,Sous-groupe,DI
3345,126,0.4921,0.087,0.0873,0.0097,62,64,280,2939,0.1022,0.0,True,"Hommes
+ Jeunes adultes (18-44 ans)",0.164
4040,194,0.5,0.0653,0.0704,0.0078,97,97,251,3595,0.0861,0.0,True,"Femmes
+ Jeunes adultes (18-44 ans)",0.1382
6465,1078,0.7393,0.307,0.0262,0.0123,797,281,1654,3733,0.3791,0.0217,True,"Hommes
+ Adultes (45-64 ans)",0.6084
7988,1153,0.7502,0.2313,0.025,0.01,865,288,1581,5254,0.3062,0.249,False,"Femmes
+ Adultes (45-64 ans)",0.4914
7047,1360,0.825,0.4436,0.0202,0.0129,1122,238,2523,3164,0.5172,0.0,False,"Femmes
+ Seniors (65 ans et +)",0.83
5537,1354,0.8301,0.5561,0.02,0.0151,1124,230,2326,1857,0.6231,0.0,False,"Hommes
+ Seniors (65 ans et +)",1.0
