n_total,n_diabetiques,Recall,FPR,CI_TPR,CI_FPR,TP,FN,FP,TN,pos_rate,pvalue_adj,Alerte_Recall,Sous-groupe,DI
23267,3077,0.7319,0.2483,0.0157,0.006,2252,825,5014,15176,0.3123,0.0,True,(Niv.5-6),0.6433
11155,2188,0.8295,0.4016,0.0158,0.0101,1815,373,3601,5366,0.4855,0.0,False,(Niv.1-4),1.0
