n_total,n_diabetiques,Recall,FPR,CI_TPR,CI_FPR,TP,FN,FP,TN,pos_rate,pvalue_adj,Alerte_Recall,Sous-groupe,DI
5168,169,0.2367,0.0294,0.0641,0.0047,40,129,147,4852,0.0362,0.0,True,(1),0.042
11551,868,0.4332,0.1387,0.033,0.0066,376,492,1482,9201,0.1609,0.0,True,(2),0.1868
11147,2047,0.7826,0.4169,0.0179,0.0101,1602,445,3794,5306,0.4841,0.8061,False,(3),0.5621
4675,1451,0.9256,0.7066,0.0135,0.0157,1343,108,2278,946,0.7745,0.0,False,(4),0.8993
1881,730,0.9671,0.7941,0.0129,0.0234,706,24,914,237,0.8612,0.0,False,(5),1.0
