n_total,n_diabetiques,pct_diab,ROC_AUC,Recall,Precision,F1,TPR,FPR,TP,FN,FP,TN,pos_rate,Sous-groupe,pvalue_Recall,Alerte_Recall,DI
7385,320,4.3,0.8409,0.4938,0.2344,0.3179,0.4938,0.073,158,162,516,6549,0.0913,"Jeunes adultes
(18-44 ans)",0.0,True,0.1505
14453,2231,15.4,0.8208,0.7423,0.343,0.4692,0.7423,0.2595,1656,575,3172,9050,0.334,"Adultes
(45-64 ans)",0.0133,True,0.5505
10006,2218,22.2,0.7587,0.8215,0.3333,0.4742,0.8215,0.468,1822,396,3645,4143,0.5464,"Les plus agés
(65 ans et +)",0.0,False,0.9006
2578,496,19.2,0.6978,0.8286,0.2628,0.399,0.8286,0.5538,411,85,1153,929,0.6067," Les plus agés
(65 ans et +)",0.0025,False,1.0
