n_total,n_diabetiques,pct_diab,ROC_AUC,Recall,Precision,F1,TPR,FPR,pos_rate,Sous-groupe,pvalue_Recall,Alerte_Recall,DI
13268,1526,11.5,0.8293,0.6802,0.3008,0.4171,0.6802,0.2055,0.2601,"Niv.6
(Bac+3 et +)",0.0,True,0.3711
9999,1551,15.5,0.8151,0.7756,0.3236,0.4567,0.7756,0.2976,0.3717,"Niv.5
(Bac+1/2)",0.569,False,0.5304
9100,1609,17.7,0.7903,0.7974,0.3162,0.4528,0.7974,0.3704,0.4459,"Niv.4
(Lycée)",0.0167,False,0.6363
625,194,31.0,0.7627,0.9021,0.3995,0.5538,0.9021,0.6102,0.7008,"Niv.2
(Primaire)",0.0,False,1.0
1408,381,27.1,0.7854,0.9029,0.4009,0.5553,0.9029,0.5005,0.6094,"Niv.3
(Collège)",0.0,False,0.8696
