n_total,n_diabetiques,pct_diab,ROC_AUC,Recall,Precision,F1,TPR,FPR,pos_rate,Sous-groupe,pvalue_Recall,Alerte_Recall,DI
10611,1044,9.8,0.8255,0.6073,0.2916,0.394,0.6073,0.161,0.2049,Revenu 8,0.0,True,0.323
6076,774,12.7,0.8105,0.6977,0.2863,0.406,0.6977,0.2539,0.3104,Revenu 7,0.0,True,0.4894
5301,765,14.4,0.809,0.7673,0.301,0.4324,0.7673,0.3005,0.3679,Revenu 6,0.9335,False,0.58
3811,676,17.7,0.7973,0.8003,0.3263,0.4636,0.8003,0.3563,0.4351,Revenu 5,0.0663,False,0.686
2971,611,20.6,0.7812,0.8232,0.3318,0.473,0.8232,0.4292,0.5103,Revenu 4,0.0025,False,0.8045
2386,560,23.5,0.7974,0.8679,0.3704,0.5192,0.8679,0.4524,0.5499,Revenu 3,0.0,False,0.8669
1772,471,26.6,0.7683,0.8981,0.3763,0.5304,0.8981,0.5388,0.6343,Revenu 2,0.0,False,1.0
1494,364,24.4,0.7868,0.9148,0.3647,0.5215,0.9148,0.5133,0.6111,Revenu 1,0.0,False,0.9634
