n_total,n_diabetiques,Recall,FPR,CI_TPR,CI_FPR,TP,FN,FP,TN,pos_rate,pvalue_adj,Alerte_Recall,Sous-groupe,DI
16687,1818,0.7068,0.2229,0.0209,0.0067,1285,533,3315,11554,0.2757,0.0,True,Revenus élevés,0.4471
12083,2052,0.8285,0.3728,0.0163,0.0095,1700,352,3740,6291,0.4502,0.0045,False,Revenus moyens,0.7301
5652,1395,0.9054,0.522,0.0154,0.015,1263,132,2222,2035,0.6166,0.0,False,Faibles revenus,1.0
