n_total,n_diabetiques,Recall,FPR,CI_TPR,CI_FPR,TP,FN,FP,TN,pos_rate,pvalue_adj,Alerte_Recall,Sous-groupe,DI
5168,169,0.2899,0.0314,0.0684,0.0048,49,120,157,4842,0.0399,0.0,True,(1),0.0456
11551,868,0.5012,0.1559,0.0333,0.0069,435,433,1665,9018,0.1818,0.0,True,(2),0.2076
11147,2047,0.8236,0.4565,0.0165,0.0102,1686,361,4154,4946,0.5239,0.0687,False,(3),0.5983
4675,1451,0.9435,0.7329,0.0119,0.0153,1369,82,2363,861,0.7983,0.0,False,(4),0.9117
1881,730,0.9712,0.8149,0.0121,0.0224,709,21,938,213,0.8756,0.0,False,(5),1.0
