n_total,n_diabetiques,Recall,FPR,CI_TPR,CI_FPR,TP,FN,FP,TN,pos_rate,pvalue_adj,Alerte_Recall,Sous-groupe,DI
15347,2558,0.8202,0.3635,0.0149,0.0083,2098,460,4649,8140,0.4396,0.0344,False,Hommes,1.0
19075,2707,0.7942,0.2827,0.0152,0.0069,2150,557,4628,11740,0.3553,0.0344,True,Femmes,0.8082
