n_total,n_diabetiques,Recall,FPR,CI_TPR,CI_FPR,TP,FN,FP,TN,pos_rate,pvalue_adj,Alerte_Recall,Sous-groupe,DI
3345,126,0.4444,0.0643,0.0868,0.0085,56,70,207,3012,0.0786,0.0,True,"Hommes
+ Jeunes adultes (18-44 ans)",0.1139
4040,194,0.4639,0.0572,0.0702,0.0073,90,104,220,3626,0.0767,0.0,True,"Femmes
+ Jeunes adultes (18-44 ans)",0.1111
6465,1078,0.7764,0.3388,0.0249,0.0126,837,241,1825,3562,0.4118,0.0275,True,"Hommes
+ Adultes (45-64 ans)",0.5966
7988,1153,0.7927,0.2664,0.0234,0.0105,914,239,1821,5014,0.3424,1.0,False,"Femmes
+ Adultes (45-64 ans)",0.496
7047,1360,0.8426,0.4549,0.0194,0.0129,1146,214,2587,3100,0.5297,0.0006,False,"Femmes
+ Seniors (65 ans et +)",0.7673
5537,1354,0.89,0.6256,0.0167,0.0147,1205,149,2617,1566,0.6903,0.0,False,"Hommes
+ Seniors (65 ans et +)",1.0
