n_total,n_diabetiques,Recall,FPR,CI_TPR,CI_FPR,TP,FN,FP,TN,pos_rate,pvalue_adj,Alerte_Recall,Sous-groupe,DI
8370,1110,0.7477,0.2902,0.0255,0.0104,830,280,2107,5153,0.3509,0.0,True,"Hommes
+ Revenus élevés",0.5587
8317,708,0.6427,0.1588,0.0353,0.0082,455,253,1208,6401,0.2,0.0,True,"Femmes
+ Revenus élevés",0.3184
5030,968,0.8554,0.433,0.0222,0.0152,828,140,1759,2303,0.5143,0.0001,False,"Hommes
+ Revenus moyens",0.8188
1947,480,0.9167,0.5337,0.0247,0.0255,440,40,783,684,0.6281,0.0,False,"Hommes
+ Faibles revenus",1.0
3705,915,0.8995,0.5158,0.0195,0.0185,823,92,1439,1351,0.6105,0.0,False,"Femmes
+ Faibles revenus",0.972
7053,1084,0.8044,0.3319,0.0236,0.0119,872,212,1981,3988,0.4045,1.0,False,"Femmes
+ Revenus moyens",0.644
